Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ids,combined_questionnaire_2,,text,Teilnehmer_ID,"1, Männlich | 2, Weiblich | 3, Divers",,,,,,,,,,,,
zustimmung_v2,combined_questionnaire_2,Einverständnis,radio,"Bitte geben Sie an, ob Sie damit einverstanden sind, dass Ihre Antworten für Forschungszwecke verwendet werden dürfen. Ihre Teilnahme ist freiwillig, und alle Informationen werden vertraulich behandelt.","1, Ja, ich stimme zu | 0, Nein, ich stimme nicht zu",,,,,,,y,,,,,
id_code_v2,combined_questionnaire_2,Demographische Daten,text,"Um Ihre Angaben eindeutig, aber anonym zuordnen zu können auch wenn Sie an weiteren Ratings teilnehmen, erstellen Sie bitte einen persönlichen Code anhand folgender Informationen. Der Code enthält nur einzelne Buchstaben und Zahlen - keine vollständigen Namen oder sensiblen Daten.",,,,,,y,,y,,,,,
alter_v2,combined_questionnaire_2,,text,Alter,,,number,0.0,100.0,,,,,,,,
geschlecht_v2,combined_questionnaire_2,,radio,Geschlecht,"1, männlich | 2, weiblich | 3, divers",,,,,,,,,,,,
demo_muttersprache,combined_questionnaire_2,,radio,Sind Sie mit Deutsch als Muttersprache aufgewachsen?,"1, Ja | 0, Nein",,,,,,,,,,,,
haupttätigkeit_v2,combined_questionnaire_2,"Erfahrungen, Einschätzungen und Qualifikationen",radio,Welcher Berufsgruppe gehören Sie an?,"1, Arzt / Ärztin in Weiterbildung | 2, Facharzt / Fachärztin für Psychiatrie und Psychotherapie | 3, Oberarzt / Oberärztin | 5, Chefarzt / Chefärztin | 6, Psychologe / Psychologin (PT1/PT2) | 7, Psychologischer Psychotherapeut / Psychologische Psychotherapeutin | 8, Leitender Psychologe / Leitende Psychologin | 9, Facharzt / Fachärztin eines anderen Fachgebiets | 10, Sonstige",,,,,,,y,,,,,
demo_area_v2,combined_questionnaire_2,,radio,In welchem Tätigkeitsbereich der Psychiatrie sind Sie überwiegend tätig?,"0, Allgemeinpsychiatrie - Erwachsene | 1, Gerontopsychiatrie | 2, Kinder- und Jugendpsychiatrie, Psychosomatik und Psychotherapie | 3, Suchtmedizin / Abhängigkeitserkrankungen | 4, Psychosomatik - Erwachsene | 5, Forensische Psychiatrie | 6, Psychiatrische Forschung / Lehre | 7, Sonstige",,,,,,,,,,,,
demo_bereich_v2,combined_questionnaire_2,,radio,In welchem Stationsbereich der psychiatrischen Versorgung sind Sie derzeit hauptsächlich tätig?,"0, Akutpsychiatrische Station (geschützt) | 1, Psychiatrische Normalstation (offen) | 2, Psychiatrische Normalstation (teilgeschützt) | 3, Tagesklinik / teilstationäre Einrichtung | 4, Psychiatrische Institutsambulanz (PIA) | 5, Konsiliar- / Liaisondienst | 6, Forschung / Wissenschaft | 7, Sonstige",,,,,,,,,,,,
psy_tätigkeit_jahre_v2,combined_questionnaire_2,,text,Wie lange sind Sie in der Psychiatrie tätig? (in Jahren),,,number,0.0,100.0,,,y,,,,,
ppb_count_per_week_v2,combined_questionnaire_2,,text,"Wie viele psychopathologische Befunde erheben Sie im Durchschnitt pro Monat? (z.B. 3 PBBs pro Tag bei Vollzeit:
3 * 5 * 4 = 60)
",,,number,,,,,y,,,,,
ppb_confidence_v2,combined_questionnaire_2,,radio,Wie sicher fühlen Sie sich in der psychopathologischen Befunderhebung?,"4, Sehr sicher | 3, Eher sicher | 2, Weder sicher noch unsicher | 1, Eher unsicher | 0, Sehr unsicher | -99, Keine Angabe",,,,,,,y,,,,,
