api_family,model_name,input_price_per_1M,output_price_per_1M,price_source
open_source,Qwen/Qwen3-Next-80B-A3B-Thinking,0.15,1.50,Invoice Dec 2025
open_source,deepseek-ai/DeepSeek-R1,3.00,7.00,Invoice Dec 2025
open_source,moonshotai/Kimi-K2-Thinking,1.20,4.00,Invoice Dec 2025
gemini,gemini-3-pro-preview,2.00,12.00,ai.google.dev/gemini-api/docs/pricing
anthropic,claude-sonnet-4-5,3.00,15.00,platform.claude.com
openai,gpt-5.1,0.625,5.00,pricepertoken.com
gemini,gemini-2.5-flash,0.30,2.50,ai.google.dev/gemini-api/docs/pricing
mistral,mistral-large-latest,0.50,1.50,pricepertoken.com
open_source,openai/gpt-oss-20b,0.05,0.20,Invoice Dec 2025
openai,gpt-4-turbo,0.15,0.60,pricepertoken.com
