ID,Video_id,Item,Correct,Ratertype,Model_name,ausbildung_fertig
L99EB,7,p1_lowered_vigilance_reduced,1,human,human,1.0
K416LS,7,p1_lowered_vigilance_reduced,1,human,human,0.0
W715HT,7,p1_lowered_vigilance_reduced,1,human,human,0.0
S410EE,7,p1_lowered_vigilance_reduced,1,human,human,0.0
S517RZ,7,p1_lowered_vigilance_reduced,1,human,human,0.0
D213SB,7,p1_lowered_vigilance_reduced,1,human,human,0.0
L615NM,7,p1_lowered_vigilance_reduced,1,human,human,0.0
B116KS,7,p1_lowered_vigilance_reduced,1,human,human,0.0
E149RD,7,p1_lowered_vigilance_reduced,1,human,human,1.0
M817FK,7,p1_lowered_vigilance_reduced,1,human,human,0.0
B417IO,7,p1_lowered_vigilance_reduced,1,human,human,0.0
E113FR,7,p1_lowered_vigilance_reduced,1,human,human,0.0
B314PN,7,p1_lowered_vigilance_reduced,1,human,human,0.0
O214MF,7,p1_lowered_vigilance_reduced,1,human,human,0.0
5911SB,7,p1_lowered_vigilance_reduced,1,human,human,0.0
M610AJ,7,p1_lowered_vigilance_reduced,1,human,human,0.0
A294NA,7,p1_lowered_vigilance_reduced,1,human,human,0.0
B710VJ,7,p1_lowered_vigilance_reduced,1,human,human,0.0
K299SD,7,p1_lowered_vigilance_reduced,1,human,human,0.0
B616CV,7,p1_lowered_vigilance_reduced,1,human,human,1.0
M28DH,8,p1_lowered_vigilance_reduced,1,human,human,0.0
B313GW,8,p1_lowered_vigilance_reduced,1,human,human,0.0
K998AS,8,p1_lowered_vigilance_reduced,1,human,human,0.0
L615NM,8,p1_lowered_vigilance_reduced,1,human,human,0.0
B116KS,8,p1_lowered_vigilance_reduced,1,human,human,0.0
M515SS,8,p1_lowered_vigilance_reduced,1,human,human,0.0
S217BT,8,p1_lowered_vigilance_reduced,1,human,human,0.0
H1017SL,8,p1_lowered_vigilance_reduced,1,human,human,0.0
E149RD,8,p1_lowered_vigilance_reduced,1,human,human,1.0
G3612NK,8,p1_lowered_vigilance_reduced,1,human,human,0.0
G36NK,9,p1_lowered_vigilance_reduced,1,human,human,0.0
L717AW,9,p1_lowered_vigilance_reduced,1,human,human,0.0
A815HK,9,p1_lowered_vigilance_reduced,1,human,human,0.0
K912EB,9,p1_lowered_vigilance_reduced,1,human,human,0.0
D214SB,9,p1_lowered_vigilance_reduced,1,human,human,0.0
H3211SP,9,p1_lowered_vigilance_reduced,1,human,human,0.0
M416DA,9,p1_lowered_vigilance_reduced,1,human,human,0.0
B116KS,9,p1_lowered_vigilance_reduced,1,human,human,0.0
L615NM,9,p1_lowered_vigilance_reduced,1,human,human,0.0
M917GD,9,p1_lowered_vigilance_reduced,1,human,human,0.0
K79SD,9,p1_lowered_vigilance_reduced,1,human,human,0.0
225,9,p1_lowered_vigilance_reduced,1,human,human,1.0
M89KF,9,p1_lowered_vigilance_reduced,1,human,human,0.0
B710VJ,9,p1_lowered_vigilance_reduced,1,human,human,0.0
B417IO,9,p1_lowered_vigilance_reduced,1,human,human,0.0
B113SS,9,p1_lowered_vigilance_reduced,1,human,human,0.0
B616CV,9,p1_lowered_vigilance_reduced,1,human,human,1.0
H691AJ,9,p1_lowered_vigilance_reduced,1,human,human,0.0
G712LS,7,p1_lowered_vigilance_reduced,1,human,human,0.0
K1011M5,7,p1_lowered_vigilance_reduced,1,human,human,0.0
N196TM,7,p1_lowered_vigilance_reduced,1,human,human,0.0
WEMAS,7,p1_lowered_vigilance_reduced,1,human,human,0.0
P1015FH,7,p1_lowered_vigilance_reduced,1,human,human,0.0
Y113KA,7,p1_lowered_vigilance_reduced,1,human,human,0.0
S914UF,7,p1_lowered_vigilance_reduced,1,human,human,0.0
G115BA,7,p1_lowered_vigilance_reduced,1,human,human,0.0
N712KB,7,p1_lowered_vigilance_reduced,1,human,human,1.0
B415AO,7,p1_lowered_vigilance_reduced,1,human,human,0.0
K99LA,7,p1_lowered_vigilance_reduced,0,human,human,0.0
F517RR,7,p1_lowered_vigilance_reduced,1,human,human,0.0
T312MM,7,p1_lowered_vigilance_reduced,1,human,human,0.0
K15PD,7,p1_lowered_vigilance_reduced,1,human,human,0.0
M613AA,7,p1_lowered_vigilance_reduced,0,human,human,0.0
W615ML,7,p1_lowered_vigilance_reduced,1,human,human,0.0
K124HU,7,p1_lowered_vigilance_reduced,1,human,human,0.0
M79LL,7,p1_lowered_vigilance_reduced,1,human,human,0.0
L515RG,7,p1_lowered_vigilance_reduced,1,human,human,1.0
N918DE,7,p1_lowered_vigilance_reduced,0,human,human,0.0
G715IW,7,p1_lowered_vigilance_reduced,1,human,human,1.0
G500NB,7,p1_lowered_vigilance_reduced,1,human,human,0.0
G810EE,7,p1_lowered_vigilance_reduced,1,human,human,1.0
B313MS,7,p1_lowered_vigilance_reduced,1,human,human,0.0
N33NR,7,p1_lowered_vigilance_reduced,1,human,human,0.0
G310US,7,p1_lowered_vigilance_reduced,1,human,human,0.0
T317HS,7,p1_lowered_vigilance_reduced,1,human,human,1.0
I515UR,7,p1_lowered_vigilance_reduced,1,human,human,1.0
T300GS,7,p1_lowered_vigilance_reduced,1,human,human,0.0
F60CG,7,p1_lowered_vigilance_reduced,1,human,human,0.0
G1013CM,7,p1_lowered_vigilance_reduced,1,human,human,1.0
K112LK,7,p1_lowered_vigilance_reduced,1,human,human,0.0
L812SM,7,p1_lowered_vigilance_reduced,1,human,human,1.0
G217KR,8,p1_lowered_vigilance_reduced,1,human,human,0.0
G810EE,8,p1_lowered_vigilance_reduced,1,human,human,1.0
B1011BB,8,p1_lowered_vigilance_reduced,1,human,human,0.0
N116PD,8,p1_lowered_vigilance_reduced,1,human,human,0.0
F613SB,8,p1_lowered_vigilance_reduced,1,human,human,0.0
L812SM,8,p1_lowered_vigilance_reduced,1,human,human,1.0
N119NB,8,p1_lowered_vigilance_reduced,1,human,human,0.0
K112LK,8,p1_lowered_vigilance_reduced,1,human,human,0.0
T317HS,8,p1_lowered_vigilance_reduced,1,human,human,1.0
T300GS,8,p1_lowered_vigilance_reduced,1,human,human,0.0
K39HD,8,p1_lowered_vigilance_reduced,1,human,human,0.0
